h,N,w_final,signed_error,abs_error,rate,seconds
0.1,9,3.4902224436724,0.151120914269009,0.151120914269009,NaN,0.003479
0.01,90,3.64126965380811,7.37041333027655e-05,7.37041333027655e-05,3.31183272873831,0.000559
0.001,900,3.64134335078017,7.16123915722733e-09,7.16123915722733e-09,4.01250366593254,0.000221
0.0001,9000,3.64134335794069,7.16315895488151e-13,7.16315895488151e-13,3.99988358917058,0.00186
1e-05,90000,3.64134335794143,-1.4210854715202e-14,1.4210854715202e-14,1.70248438906906,0.006535
1e-06,900000,3.64134335794224,-8.33111357678717e-13,8.33111357678717e-13,-1.76808285572314,0.061401
1e-07,9000000,3.64134335794187,-4.57855975355415e-13,4.57855975355415e-13,0.259974168759529,0.607047
1e-08,90000000,3.6413433579386,2.80708789546225e-12,2.80708789546225e-12,-0.787527125044246,5.911104
1e-09,900000000,3.64134335793234,9.07451891407618e-12,9.07451891407618e-12,-0.509567598717232,58.01071
