t,x,w,err
0,0,0,0
0.1,0.0955150032537233,0.0955152528028463,-2.49549123018666e-07
0.2,0.184290388359277,0.184290730708219,-3.42348942333759e-07
0.3,0.270301230992409,0.270301380068929,-1.490765205725e-07
0.4,0.359113415226281,0.359112973166546,4.42059734151456e-07
0.5,0.459864654105944,0.459863389716474,1.26438947067875e-06
0.6,0.590673056943392,0.590672144849001,9.12094391680718e-07
0.7,0.797293578384326,0.797291893617687,1.68476663930939e-06
0.8,1.24931261847953,1.2487983912919,0.00051422718763372
0.9,3.64134335794141,3.4902224436724,0.151120914269009
